name surname,position,fg_pct,fg3_pct,fg2_pct,ft_pct,rebounds,asists,points_per_game
Jerry Eaves,PG,0.83,0.03,0.39,0.83,0.72,1.6,4.7
Keith Edmonson,SG,0.7,0.0,0.46,0.7,1.45,0.62,6.0
Chris Engler,C,0.58,0.0,0.39,0.58,2.01,0.17,1.59
Bruce Flowers,PF,0.77,0.0,0.54,0.77,3.4,0.9,4.9
Sleepy Floyd,PG,0.81,0.3,0.45,0.81,2.64,5.08,12.29
Bill Garnett,C,0.72,0.0,0.49,0.72,4.33,1.3,5.52
John Greig,SF,0.83,0.0,0.54,0.83,0.7,0.0,2.1
Scott Hastings,C-PF,0.78,0.24,0.43,0.78,1.93,0.39,2.35
Rod Higgins,SF,0.72,0.24,0.45,0.72,3.0,1.29,7.02
Craig Hodges,SG,0.84,0.39,0.47,0.84,1.27,2.34,8.39
Marc Iavaroni,PF,0.73,0.0,0.45,0.73,3.28,1.06,4.43
Jim Johnstone,PF-C,0.48,0.0,0.34,0.48,2.07,0.4,1.27
Hutch Jones,SF,0.62,0.0,0.23,0.62,0.95,0.2,2.35
Clark Kellogg,PF,0.76,0.37,0.47,0.76,8.14,2.7,16.08
Joe Kopicki,PF,0.82,0.27,0.5,0.82,2.8,0.67,3.7
Fat Lever,PG,0.77,0.27,0.45,0.77,5.82,5.84,13.22
Cliff Levingston,PF,0.65,0.12,0.51,0.65,5.07,0.9,6.94
Steve Lingenfelter,PF,0.0,0.0,0.83,0.0,1.5,0.45,0.9
Dave Magley,SF,0.5,0.0,0.27,0.5,0.7,0.1,0.9
Mark McNamara,C,0.48,0.0,0.46,0.48,2.48,0.19,2.82
Guy Morgan,SG,0.25,0.0,0.29,0.25,2.1,0.9,1.9
Ed Nealy,PF,0.66,0.15,0.5,0.66,2.64,0.61,2.18
Chuck Nevitt,C,0.45,0.0,0.42,0.45,1.4,0.18,1.81
Audie Norris,C,0.61,0.0,0.49,0.61,2.93,0.8,3.93
Eddie Phillips,SF,0.68,0.0,0.41,0.68,1.6,0.6,3.2
Ricky Pierce,SG,0.86,0.28,0.49,0.86,2.27,1.79,14.32
Charles Pittman,PF,0.7,0.0,0.54,0.7,2.77,0.77,4.22
Paul Pressey,SG,0.74,0.19,0.49,0.74,3.65,4.86,10.01
Oliver Robinson,SG,0.67,0.09,0.4,0.67,0.5,0.6,2.9
Walker Russell,PG,0.55,0.29,0.28,0.55,0.88,1.85,2.1
Mike Sanders,SF,0.77,0.14,0.5,0.77,2.81,1.29,7.39
Russ Schoene,PF,0.74,0.24,0.45,0.74,2.77,0.67,5.5
Ed Sherod,PG,0.65,0.08,0.42,0.65,2.3,4.9,6.2
Jose Slaughter,SG,0.64,0.22,0.41,0.64,1.1,0.8,3.6
Derek Smith,SF,0.73,0.23,0.47,0.73,2.7,2.12,11.35
Brook Steppe,SG,0.82,0.21,0.47,0.82,1.46,1.22,5.46
Jeff Taylor,SG,0.78,0.0,0.5,0.78,1.05,1.4,2.7
Vince Taylor,SG,0.66,0.0,0.36,0.66,1.2,1.3,3.1
Terry Teagle,SG,0.7,0.19,0.47,0.7,2.25,1.17,9.71
David Thirdkill,SF,0.55,0.02,0.51,0.55,1.27,0.44,3.11
Corny Thompson,PF,0.78,0.0,0.31,0.78,2.7,0.8,2.8
LaSalle Thompson,C,0.73,0.04,0.42,0.73,5.92,0.94,6.95
Darren Tillis,C,0.55,0.0,0.4,0.55,2.25,0.28,3.0
Linton Townes,SF,0.35,0.07,0.48,0.35,0.6,0.28,2.5
Trent Tucker,SG,0.75,0.41,0.48,0.75,1.95,1.95,8.1
Bryan Warrick,PG,0.77,0.26,0.44,0.77,1.32,2.45,4.17
Rory White,SF,0.53,0.01,0.48,0.53,1.99,0.53,5.81
Rickey Williams,SG,0.66,0.0,0.42,0.66,0.9,0.8,3.3
Rob Williams,PG,0.79,0.23,0.44,0.79,2.15,5.4,8.6
Jim Zoet,C,0.0,0.0,0.2,0.0,1.1,0.1,0.3
Ken Austin,SF,0.0,0.0,0.46,0.0,0.4,0.1,1.7
Thurl Bailey,PF,0.8,0.12,0.47,0.8,5.08,1.34,12.09
Randy Breuer,C,0.57,0.0,0.45,0.57,4.11,0.84,6.25
Wallace Bryant,C,0.57,0.0,0.35,0.57,3.28,0.9,2.82
Howard Carter,SG,0.89,0.13,0.34,0.89,0.95,0.85,3.5
Carlos Clark,SG,0.83,0.0,0.41,0.83,0.8,0.65,2.2
Leroy Combs,SF,0.61,0.0,0.51,0.61,1.2,0.8,4.5
Russell Cross,C,0.42,0.0,0.57,0.42,1.8,0.5,3.7
Darren Daye,SF,0.55,0.07,0.43,0.55,2.2,1.7,5.31
Craig Ehlo,SG,0.7,0.3,0.47,0.7,3.24,2.48,7.71
Dale Ellis,SF,0.76,0.4,0.49,0.76,3.21,1.33,14.44
Rod Foster,PG,0.75,0.29,0.46,0.75,1.23,2.37,7.1
John Garris,PF,0.79,0.0,0.51,0.79,2.3,0.3,4.0
Mike Gibson,PF,0.69,0.0,0.39,0.69,1.7,0.25,1.6
Stewart Granger,PG,0.69,0.1,0.4,0.69,0.93,1.83,3.2
Sidney Green,PF,0.76,0.03,0.44,0.76,5.38,0.87,6.34
Bob Hansen,SG,0.52,0.24,0.49,0.52,2.07,1.46,5.99
Derek Harper,PG,0.73,0.34,0.48,0.73,2.31,5.27,12.9
Roy Hinson,SF,0.7,0.0,0.5,0.7,6.34,0.97,13.49
Charles Jones,PF,0.53,0.0,0.45,0.53,3.78,0.65,2.4
Mark Jones,PG,0.5,0.0,0.6,0.5,0.3,0.8,1.2
Greg Kite,C,0.41,0.06,0.38,0.41,3.4,0.44,2.22
Bruce Kuczenski,PF,0.67,0.0,0.26,0.67,1.6,0.55,1.82
Darrell Lockhart,C,0.0,0.0,1.0,0.0,1.5,0.0,2.0
Sidney Lowe,PG,0.69,0.06,0.37,0.69,1.33,3.45,1.95
Jeff Malone,SG,0.87,0.29,0.47,0.87,2.43,2.04,16.65
Pace Mannion,SF,0.42,0.12,0.54,0.42,0.97,0.85,2.27
Rodney McCray,SF,0.75,0.18,0.5,0.75,6.56,3.54,11.54
Scooter McCray,PF,0.65,0.0,0.48,0.65,2.53,1.03,2.83
Larry Micheaux,PF,0.64,0.0,0.56,0.64,2.58,0.53,3.4
